client,daypart,total_visits,total_spots,avg_visits_per_spot,total_cost,cpm,visit_efficiency,visits_per_thousand_impressions,efficiency_rating,recommendation_priority,ai_recommendation,expected_impact,confidence,action_type,priority,generated_date
OPOS,WK,3460,75,46.13333333333333,32400.00,,46.13333333333333,1934.0413638904417,Unknown,Low,,,Medium,monitor,999,2025-06-27
OPOS,EF,4103,95,43.189473684210526,51075.00,,43.189473684210526,2951.798561151079,Unknown,Low,,,Medium,monitor,999,2025-06-27
OPOS,DA,4923,115,42.80869565217391,68300.00,,42.80869565217391,2653.9083557951485,Unknown,Low,,,Medium,monitor,999,2025-06-27
OPOS,EM,2327,58,40.12068965517241,39600.00,,40.12068965517241,3802.2875816993464,Unknown,Low,,,Medium,monitor,999,2025-06-27
OPOS,PR,2860,86,33.25581395348837,66800.00,,33.25581395348837,1514.028586553732,Unknown,Low,,,Medium,monitor,999,2025-06-27
OPOS,ON,3852,393,9.801526717557252,62600.00,,9.801526717557252,701.2561441835062,Unknown,Low,,,Medium,monitor,999,2025-06-27
OPOS,LF,82,14,5.857142857142857,5600.00,,5.857142857142857,229.05027932960894,Unknown,Low,,,Medium,monitor,999,2025-06-27
